pert_id,average_precision,top1_correct,top5_hit,relevant_compounds,eligible_annotations,label,method
BRD-K02113016,0.5136986301369864,1.0,1.0,2,parp inhibitor,moa,raw_cosine
BRD-K02123250,0.08758398464280819,0.0,0.0,3,tyrosine kinase inhibitor,moa,raw_cosine
BRD-K03449891,0.14255744433365103,0.0,0.0,9,vegfr inhibitor,moa,raw_cosine
BRD-K05804044,0.09561035824023587,0.0,1.0,4,raf inhibitor,moa,raw_cosine
BRD-K07691486,0.05585255239180744,0.0,0.0,6,cdk inhibitor,moa,raw_cosine
BRD-K08799216,0.32426625386184205,1.0,1.0,8,egfr inhibitor,moa,raw_cosine
BRD-K09951645,0.06683415268941584,0.0,0.0,4,raf inhibitor,moa,raw_cosine
BRD-K11153516,0.022642390289449112,0.0,0.0,2,parp inhibitor,moa,raw_cosine
BRD-K12184916,0.7299450549450549,1.0,1.0,6,mtor inhibitor|pi3k inhibitor,moa,raw_cosine
BRD-K13390322,0.6721626733921816,1.0,1.0,6,cdk inhibitor,moa,raw_cosine
BRD-K13662825,0.7022533022533022,1.0,1.0,6,cdk inhibitor,moa,raw_cosine
BRD-K16730910,0.39671861107267375,1.0,1.0,15,fgfr inhibitor|kit inhibitor|pdgfr tyrosine kinase receptor inhibitor|raf inhibitor|ret tyrosine kinase inhibitor|vegfr inhibitor,moa,raw_cosine
BRD-K17743125,1.0,1.0,1.0,2,hdac inhibitor,moa,raw_cosine
BRD-K19477839,1.0,1.0,1.0,1,hepatocyte growth factor receptor inhibitor,moa,raw_cosine
BRD-K19687926,0.23203289570112012,0.0,1.0,8,egfr inhibitor,moa,raw_cosine
BRD-K21718444,0.16930960254570412,0.0,1.0,8,abl kinase inhibitor|aurora kinase inhibitor|flt3 inhibitor,moa,raw_cosine
BRD-K23984367,0.2596979560360369,0.0,1.0,17,flt3 inhibitor|kit inhibitor|pdgfr tyrosine kinase receptor inhibitor|raf inhibitor|ret tyrosine kinase inhibitor|vegfr inhibitor,moa,raw_cosine
BRD-K28392481,0.06620553359683795,0.0,0.0,2,fgfr inhibitor,moa,raw_cosine
BRD-K33379087,0.04563492063492063,0.0,0.0,3,tyrosine kinase inhibitor,moa,raw_cosine
BRD-K36740062,0.05133928571428571,0.0,0.0,2,aurora kinase inhibitor,moa,raw_cosine
BRD-K37687095,0.5588235294117647,1.0,1.0,2,mek inhibitor,moa,raw_cosine
