cell_line,method,mean_average_precision,nearest_neighbor_accuracy,top5_hit_rate,queries,compounds
A375,raw_cosine,0.2499799657433824,0.46220302375809935,0.673866090712743,463,70
A375,pca_64,0.1687069682622262,0.35853131749460043,0.5442764578833693,463,70
A375,limma_weighted,0.2513838399966006,0.45788336933045354,0.6630669546436285,463,70
A375,replicate_contrastive,0.23798553167035527,0.3412526997840173,0.6285097192224622,463,70
A375,shrinkage_lda,0.39423635175537175,0.5788336933045356,0.8293736501079914,463,70
A375,filzen_continuous,0.11466973174423528,0.1857451403887689,0.4168466522678186,463,70
A375,filzen_binary,0.039899392119479064,0.023758099352051837,0.05183585313174946,463,70
A375,ssgsea_hallmark,0.34407671084491165,0.5961123110151187,0.7861771058315334,463,70
A375,contrastive_lda_ensemble,0.3596240066909641,0.5550755939524838,0.7775377969762419,463,70
A549,raw_cosine,0.16364301381985366,0.28530259365994237,0.43948126801152737,694,102
A549,pca_64,0.10200044873045704,0.1930835734870317,0.37319884726224783,694,102
A549,limma_weighted,0.16564235041275985,0.2838616714697406,0.43515850144092216,694,102
A549,replicate_contrastive,0.20028984631525942,0.24927953890489912,0.43371757925072046,694,102
A549,shrinkage_lda,0.34412332852250627,0.43371757925072046,0.5778097982708934,694,102
A549,filzen_continuous,0.07245991144280838,0.0994236311239193,0.2665706051873199,694,102
A549,filzen_binary,0.034691392760164974,0.018731988472622477,0.07492795389048991,694,102
A549,ssgsea_hallmark,0.2682407061852392,0.3688760806916426,0.5561959654178674,694,102
A549,contrastive_lda_ensemble,0.3042845315302188,0.3818443804034582,0.553314121037464,694,102
HA1E,raw_cosine,0.25900146146979225,0.43280632411067194,0.5869565217391305,506,78
HA1E,pca_64,0.15058881735570315,0.2964426877470356,0.4723320158102767,506,78
HA1E,limma_weighted,0.26168791502256006,0.4268774703557312,0.5988142292490118,506,78
HA1E,replicate_contrastive,0.2565246436011967,0.35968379446640314,0.6047430830039525,506,78
HA1E,shrinkage_lda,0.4222633322333789,0.5790513833992095,0.8063241106719368,506,78
HA1E,filzen_continuous,0.10345697032131787,0.15019762845849802,0.3339920948616601,506,78
HA1E,filzen_binary,0.04226802908064282,0.021739130434782608,0.04743083003952569,506,78
HA1E,ssgsea_hallmark,0.37220892147248336,0.5731225296442688,0.7806324110671937,506,78
HA1E,contrastive_lda_ensemble,0.3829813845307074,0.5513833992094862,0.733201581027668,506,78
HT29,raw_cosine,0.17973826046866428,0.3155818540433925,0.5069033530571992,507,77
HT29,pca_64,0.11358153769356565,0.21893491124260356,0.4181459566074951,507,77
HT29,limma_weighted,0.18287388773497718,0.31952662721893493,0.5069033530571992,507,77
HT29,replicate_contrastive,0.21621702581419178,0.2781065088757396,0.4990138067061144,507,77
HT29,shrinkage_lda,0.33278155026203543,0.46745562130177515,0.727810650887574,507,77
HT29,filzen_continuous,0.07996914175310614,0.11637080867850098,0.2702169625246548,507,77
HT29,filzen_binary,0.03915693282985665,0.01775147928994083,0.05917159763313609,507,77
HT29,ssgsea_hallmark,0.24890188003790847,0.4319526627218935,0.6331360946745562,507,77
HT29,contrastive_lda_ensemble,0.318827404424103,0.43984220907297833,0.6903353057199211,507,77
PC3,raw_cosine,0.22191704652142774,0.3829787234042553,0.5815602836879432,423,63
PC3,pca_64,0.1469248538491942,0.2718676122931442,0.4562647754137116,423,63
PC3,limma_weighted,0.22405988032646673,0.3947990543735225,0.5862884160756501,423,63
PC3,replicate_contrastive,0.22217175226727023,0.28841607565011823,0.5508274231678487,423,63
PC3,shrinkage_lda,0.3924157736420827,0.5342789598108747,0.7494089834515366,423,63
PC3,filzen_continuous,0.09877453892161311,0.1607565011820331,0.34515366430260047,423,63
PC3,filzen_binary,0.04847492353439958,0.026004728132387706,0.06382978723404255,423,63
PC3,ssgsea_hallmark,0.3248315500583755,0.5200945626477541,0.7304964539007093,423,63
PC3,contrastive_lda_ensemble,0.35562630053249544,0.5059101654846335,0.7163120567375887,423,63
