direction,generalized_eigenvalue,cumulative_discriminative_mass,signal_fraction_lambda_over_one_plus_lambda
1,32.90365391919494,0.11167681186834241,0.9705046540888078
2,23.010305148299185,0.18977505364387567,0.9583512165370861
3,20.64613792392124,0.25984918177566146,0.9538023825074636
4,16.409039668103237,0.3155423652882046,0.9425585776662802
5,13.484924086535752,0.36131093962251004,0.9309627034269696
6,11.061014714639104,0.3988526321771812,0.9170882364660209
7,9.837060297010508,0.432240156092448,0.907724053147895
8,7.888766601130699,0.45901506400241093,0.8874984522742678
9,7.110740875886686,0.48314930979137705,0.8767067009904101
10,6.571054991342644,0.5054518319929192,0.8679180112753796
11,5.679168511784986,0.5247272424083331,0.8502807650030747
12,4.978722649185553,0.5416253010252636,0.8327401923994209
13,4.872180827851368,0.5581617508383065,0.829705516686907
14,4.220356127079874,0.5724858717514053,0.8084421875334062
15,4.11806885955366,0.5864628240503403,0.8046138050422385
16,3.811015708297438,0.5993976210588436,0.7921436842795326
17,3.430488343377319,0.6110408872529486,0.7742912468114723
18,3.316347149517832,0.6222967519546728,0.7683226197152129
19,3.1093673397530566,0.6328501157933497,0.756653538775608
20,2.973894911150422,0.6429436787552133,0.7483577139410299
21,2.6932295877572243,0.6520846481663569,0.7292342714585294
22,2.6295009022118148,0.6610093189121988,0.7244800244048428
23,2.6135004046071564,0.6698796830887709,0.7232600282194473
24,2.5699622331772596,0.6786022763158973,0.7198849918616641
25,2.497750375251616,0.6870797785238917,0.7141019533367747
26,2.424956000621672,0.6953102126190075,0.7080254462193127
27,2.3567845538734273,0.7033092690728441,0.7020958646732064
28,2.2170893867419474,0.7108341924429515,0.6891600201967863
29,2.167864124609943,0.7181920425648481,0.6843298952655903
30,2.156515888749713,0.7255113761498181,0.6831950051117603
31,2.135080478900583,0.7327579567743139,0.6810289219909652
32,2.0762128480638764,0.7398047374206603,0.6749249647567835
33,2.044671266548347,0.7467444642038221,0.6715573168811522
34,1.9942050358546357,0.7535129058231925,0.6660215355911423
35,1.9366155158249465,0.7600858854428185,0.6594719347455731
36,1.883050870468979,0.7664770637088045,0.6531452114692197
37,1.8287029590190045,0.7726837821729295,0.6464810853286622
38,1.8099589963823233,0.7788268825965116,0.644122920908295
39,1.7705284580371803,0.7848361536033531,0.6390580298502099
40,1.7027918403954978,0.7906155228028285,0.6300122025476921
41,1.6725171925758093,0.796292138181794,0.6258209291307921
42,1.6450722495902448,0.8018756039141559,0.6219384933039493
43,1.6157389272857596,0.8073595107366011,0.6176988500004252
44,1.5900464395427538,0.8127562158419619,0.6139065366810412
45,1.5805407329540622,0.8181206580561255,0.6124843187980782
46,1.545823822870075,0.8233672691672264,0.6071998419463944
47,1.5226891838003687,0.8285353600403811,0.6035976185962296
48,1.508595615970334,0.8336556165688465,0.6013705861423997
49,1.475937573468645,0.838665029904109,0.5961125956018923
50,1.45555041076919,0.8436052480874011,0.5927593277603473
51,1.4258273563020751,0.8484445845883722,0.5877695098943904
52,1.3985594252818638,0.8531913722310901,0.5830830833459605
53,1.3861570111556765,0.8578960653978424,0.5809160942365337
54,1.3458966500264122,0.8624641126836652,0.5737237614501299
