training_compounds,plates_per_compound,method,validation_map,selected_epoch
20,3,raw_cosine,0.09143700091601992,
20,3,shrinkage_lda,0.10038996249787552,
20,3,replicate_contrastive,0.07058347618771675,22.0
20,3,filzen_continuous,0.04859747519237405,8.0
20,6,raw_cosine,0.09068257951132304,
20,6,shrinkage_lda,0.12530065337960158,
20,6,replicate_contrastive,0.09977840064680918,24.0
20,6,filzen_continuous,0.04950687471782949,6.0
20,9,raw_cosine,0.09078911767401562,
20,9,shrinkage_lda,0.14147590445563588,
20,9,replicate_contrastive,0.11100392133467162,10.0
20,9,filzen_continuous,0.05178708387103773,1.0
20,12,raw_cosine,0.09109675120037114,
20,12,shrinkage_lda,0.14695608256677195,
20,12,replicate_contrastive,0.10990081466380389,14.0
20,12,filzen_continuous,0.04982646795841752,14.0
40,3,raw_cosine,0.08958015833709211,
40,3,shrinkage_lda,0.14623717612977585,
40,3,replicate_contrastive,0.08713096328604776,17.0
40,3,filzen_continuous,0.04923585644171421,3.0
40,6,raw_cosine,0.08990508418317132,
40,6,shrinkage_lda,0.1642608134855938,
40,6,replicate_contrastive,0.10346371421110642,21.0
40,6,filzen_continuous,0.05053348356016442,15.0
40,9,raw_cosine,0.08973275904789826,
40,9,shrinkage_lda,0.17205415134983512,
40,9,replicate_contrastive,0.11989654607975103,15.0
40,9,filzen_continuous,0.05460928905676878,11.0
40,12,raw_cosine,0.08958928076097068,
40,12,shrinkage_lda,0.1791846680886685,
40,12,replicate_contrastive,0.12658539074163033,22.0
40,12,filzen_continuous,0.05407206166497521,12.0
60,3,raw_cosine,0.09016515388971286,
60,3,shrinkage_lda,0.15975511812563414,
60,3,replicate_contrastive,0.09469979092223287,20.0
60,3,filzen_continuous,0.0535433226882642,7.0
60,6,raw_cosine,0.08969302455137396,
60,6,shrinkage_lda,0.17861487650195793,
60,6,replicate_contrastive,0.1219954872825843,20.0
60,6,filzen_continuous,0.053879003468068266,13.0
60,9,raw_cosine,0.0895317469492314,
60,9,shrinkage_lda,0.18872526347324975,
60,9,replicate_contrastive,0.13991311494937522,24.0
60,9,filzen_continuous,0.05395878610450855,2.0
60,12,raw_cosine,0.08983355356295232,
60,12,shrinkage_lda,0.19067235780362132,
60,12,replicate_contrastive,0.13124600497151578,14.0
60,12,filzen_continuous,0.05137449780694478,1.0
80,3,raw_cosine,0.08813562202573862,
80,3,shrinkage_lda,0.1790012425126235,
80,3,replicate_contrastive,0.11640646107675062,21.0
80,3,filzen_continuous,0.05180418089257861,1.0
80,6,raw_cosine,0.08833457977970832,
80,6,shrinkage_lda,0.19270490497367945,
80,6,replicate_contrastive,0.12699754418366713,14.0
80,6,filzen_continuous,0.052097180051634086,15.0
80,9,raw_cosine,0.08891545018536356,
80,9,shrinkage_lda,0.1978031833058966,
80,9,replicate_contrastive,0.14195030522882335,21.0
80,9,filzen_continuous,0.0530709386574838,1.0
80,12,raw_cosine,0.08884282579896673,
80,12,shrinkage_lda,0.20053508695878713,
80,12,replicate_contrastive,0.14617402545040317,25.0
80,12,filzen_continuous,0.05044450328928021,2.0
100,3,raw_cosine,0.08881949612689649,
100,3,shrinkage_lda,0.18649349935584403,
100,3,replicate_contrastive,0.12293671659155933,14.0
100,3,filzen_continuous,0.053472513623960806,13.0
100,6,raw_cosine,0.08927640090785853,
100,6,shrinkage_lda,0.19754710039804915,
100,6,replicate_contrastive,0.14099770964281647,25.0
100,6,filzen_continuous,0.055273857233391344,11.0
100,9,raw_cosine,0.08932189154723878,
100,9,shrinkage_lda,0.20313662322462991,
100,9,replicate_contrastive,0.15526237545883564,24.0
100,9,filzen_continuous,0.051650142862766146,1.0
100,12,raw_cosine,0.08919985822038975,
100,12,shrinkage_lda,0.20431803830770126,
100,12,replicate_contrastive,0.16162032835284687,22.0
100,12,filzen_continuous,0.05259176187866691,19.0
