pert_id,pert_iname,wells,unique_plates,retains_12_plate_gate,previously_exposed,split_hash,split
BRD-A26711594,nicardipine,14,13,True,False,58136303fca3594802eada5815449ef53b044ede2ff7942a198146f0dc1fbc8d,test
BRD-A36217750,sulfinpyrazone,13,12,True,False,63473d414c57b6e7eb5408d00214318606350a2f73ef292c7e6614c00250812e,test
BRD-A54880345,etomidate,14,13,True,False,50cc97d7b3f8a9978b95d10e0bc86788a9046e39129b998281c3cae265d4168d,test
BRD-A55913614,primaquine,13,12,True,False,49f2a494dc68a819ab9eadb38914a111dfe2461ba528e84b2873b4284479d0bd,test
BRD-A75552914,isoxicam,14,13,True,False,79f155b7ee6707430f58dba9d03561e83b32f3b90bf7de1f38bd8d0d9913e402,test
BRD-A79981887,midodrine,22,17,True,False,65fcb092a3b6f1d43c3403d787fe7284ec669d56add5fb8a04cba1754aebf93a,test
BRD-K02265150,amoxapine,16,12,True,False,638bfde7ae2ca72c6297c870ae12e773b54990732038cfb86b9388253be6b601,test
BRD-K16478699,PLX-4720,14,13,True,False,4b8712d21b1ee4f713ca3c6853a30e4f6ad9e665e8f929a71abc1ad9066800d4,test
BRD-K22031190,diflunisal,16,16,True,False,7aa0a4d5d63df5c692c0384cf99e076a0c0092eff21af26fa49093c56047a1b8,test
BRD-K25394294,oxaprozin,14,13,True,False,5a9f30c5a6795b25f8025bc4034db7a626fe0ae5ac989aee0ed6d1bd11dd17e0,test
BRD-K27305650,LY-294002,32,28,True,False,64a45b432e089431c684100cdcd9595efe5af88ea6826f81a441a1f9e896aa11,test
BRD-K28936863,ketotifen,19,18,True,False,4646b66df3766a3a5709435a6a88ee24b37669e5a1e22d26ec8e69e1fdc1320f,test
BRD-K29458283,chlorambucil,16,15,True,False,58fc468ad77fcff0389921378c44a21c547ef21e044843d59ea516813ff26131,test
BRD-K32247306,primidone,15,14,True,False,6f3068c6db25e21a6ffd63a95dbbfc518ee18f0193b2417881f1090daae9164d,test
BRD-K38055836,etamivan,13,12,True,False,758ff9d93e5817a23a9adf5d57448b99580cc449609be1fa0b289df6aa11773e,test
BRD-K38197229,bumetanide,17,13,True,False,45f0194ded13f71f888895b4c2d27ad4f71997245668f1af5f110415fbed4647,test
BRD-K46211610,tolazoline,13,12,True,False,55deb8c784616c352a40e88532b02eeb3ab512803890be09c3534fc2a38dc626,test
BRD-K56343971,vemurafenib,15,14,True,False,5e5cabc2d788739a501d07d554f6eb516f7d7b2481372f87279f6dd4ff649b67,test
BRD-K60770992,pergolide,16,15,True,False,7991b7ed46c56b47152d91994bfa58e82fff26d85ee9a2d39e8869fc13730784,test
BRD-K63923597,barasertib-HQPA,16,15,True,False,760807c8d50f6b83074f7655ad850d2206841ff64de8057ea64a3a1dda220e03,test
BRD-K66353228,zoxazolamine,13,12,True,False,6de1d18cda4da4968922f64f4f4272bade4640d71e3526a9a3fe2f37455d59ba,test
BRD-K67043667,altretamine,13,13,True,False,74ef16516cad945472e1cd613ed35081b0d1f99c1c2399298b33e7fbaac84f65,test
BRD-K67511046,naloxone,13,12,True,False,64cc98f9458957b62828c707775cd4c592c8503525c3a426f2b46c8f825a4d6d,test
BRD-K70301876,escitalopram,15,14,True,False,64bb6f85b70a47ea31ecf2db2518f1b22f84a66c0c72751905c91fa6f4fdc438,test
BRD-K71103788,duloxetine,15,14,True,False,5ab987d5ef707191ffedf037d80ee430d156f6d47e836d5a409a105186991b80,test
BRD-K75958195,pizotifen,14,13,True,False,748af50872203bb74421d9da3ac8eb6ef5edea064159b609f6b59fead36c307a,test
BRD-K77695569,tiabendazole,13,12,True,False,5834c7e0e1dd1e9257e4460dc525203ac4a547367943c20647e32a5b42cdb0a3,test
BRD-K78126613,menadione,16,16,True,False,63530514d07eff65807d834cfd6ec57a4761ca7db79d87711fdab6d8fd36ba63,test
BRD-K79759585,sildenafil,15,14,True,False,4189a1a9f6728ed786729847a6f5d43ad40dc1adbd000b134365768ce8036b46,test
BRD-K89732114,trifluoperazine,23,14,True,False,77ddc865e582c5a44b42653ce3a1e97da7ee463a83cc4468a1005a8c240a7d59,test
BRD-K92049597,triamterene,18,13,True,False,6e120f2a2a59deb59b291823ea0952e6ef1d1a929be69792a2c8619d8ee7a16a,test
BRD-K92093830,doxorubicin,14,13,True,False,722dfc73800faefb25a597c6545bf9ef3dbfb25b55dc506b18f5b31f52e876e2,test
BRD-K95237249,probenecid,17,12,True,False,74c67de4cfdc3f0752fb2d533a3103276685117f4ed0d7b1b4d84552bf4599c4,test
BRD-K97181089,amiloride,13,13,True,False,796b062e4cf1c9fc3f3650ed3da987508991fc816e6969c895555acef30d4e9f,test
BRD-A02006392,nitrendipine,14,14,True,False,992c2f0c1e9f46aedb785b6ff737e821a387e4f7611850ee3c22823e4725d4de,train
BRD-A04553218,chlorphenamine,16,15,True,False,e19b3c0a18127518aed04eefef935c928481ad9604e0e0e17dc4b9d3e3ce49b4,train
BRD-A05186015,bupropion,18,15,True,False,97e1ccfa080356721b0a99d7e909ef59077dfdad5fcecabd39001895b7edb99f,train
BRD-A07440155,labetalol,18,17,True,False,e18ae26aa1fc7b3eb0f2ffbfec696cd22d0775fd5e8aab5e2c5eeabb57205eeb,train
BRD-A09472452,flecainide,14,14,True,False,c3a486cfa4cc038d3c1a50aecad7a54e5c777937f138414d821fce2be11cd153,train
BRD-A09533288,verapamil,14,14,True,False,f0e0becfbe4888ff54b5b2f3f5d3cef0a38398cbd1b54dbbe98459d2a751104d,train
BRD-A10977446,carvedilol,17,16,True,False,ab06c7acc784c38150e5dc7cb6dc13443f007347c78bfa491a2ac1b6615d9038,train
BRD-A14395271,mesoridazine,13,13,True,False,f110a7948c379404b097a56bf3399734ab5fb522bc3dd208a4a1adb94df90b5e,train
BRD-A19037878,trichostatin-a,139,105,True,True,e9f061fc7a70a2ca4a7efcd76fff8b3e6c21782a69356aafca67773b1df69abb,train
BRD-A19500257,geldanamycin,126,111,True,True,cd51df6bb2f63fcac82a377ad9eb09eb62af70a7ab22f63c8494a0efe3689fdd,train
BRD-A19633847,perhexiline,12,12,True,False,b050d854672a4dc02fcbc19cc5ef3fac7a8901d193bf444946dd5b83fc00b855,train
BRD-A20697603,thiostrepton,14,13,True,False,8e3d62ec16ea163de09c1b4b3c0f62ddcf0daf34b67f6c79fccb4e47415e8a0f,train
BRD-A21858158,praziquantel,14,13,True,False,d94acdb94719c77b9ab6d96479df589427580c379543f72e3e0e693bdcf6a571,train
BRD-A22032524,amlodipine,13,12,True,False,b333d625145651addc1b4bde4daed7ec688c763e3827e4d16e0fe87ba3720ab6,train
BRD-A26334849,propafenone,17,12,True,False,dab93cabba191bc9985a22d5ba36688d72426ea1ec96c8087d239987fc9851eb,train
BRD-A26384407,chlorthalidone,15,15,True,False,bdfd455131ca4f5be227000ae4fd7af4e06c7fe1241367e0cea389c771c02620,train
BRD-A29426959,carbinoxamine,13,12,True,False,dcc94f8f1756de19138bf9f7cbea58c05ff2e6e1062e19969dbd16f902fa4490,train
BRD-A34255068,rolipram,16,16,True,False,d9b62c4e529363dbc424669d41050c0686d5c29a670cb7f4f591a87a640ba794,train
BRD-A39093044,K784-3187,12,12,True,False,ef6dfc97b154e84afacbe0579031020738d60bee0de5faef8ad346e70afb42c9,train
BRD-A40639672,ketorolac,14,13,True,False,d71d9218237e498106c793274cc763f6ba6f1cef6e8054aa3e38211a42325be9,train
BRD-A41304429,practolol,14,13,True,False,cc1addbd10c99b757977f66bc91e456336a82e5aa3609cc3915700c69e6994de,train
BRD-A44008656,doxylamine,14,14,True,False,7df874e202f9ce54ebd1d0323594f5769e9cbe0ef56be9bd21930504de0fdd84,train
BRD-A45889380,mepacrine,17,16,True,True,6b448ffef0cfbb61d888bb6dcfd75e6ab29b6571f12fa3ca5deb6832647384f7,train
BRD-A46393198,tetramisole,13,12,True,False,b73a6228539e95b4f448c355493f44b0af7cae4f6c5e61187d26b191bcf8abcc,train
BRD-A48430263,pioglitazone,16,15,True,False,f018900d6ae68f46ff41aaef814fd45a988d72b98e4a42ba7ec50ca379ed0ff8,train
BRD-A51714012,venlafaxine,15,14,True,False,8e83b1e5368fa35010ec6fa06e081728aa474c8b2c3553cf725dc0ffac7aaf94,train
BRD-A57382968,piroxicam,19,18,True,False,a83f7ba61040e50467fbf93ecf1781a0c3dc71a444f3a1e158ef7cf96c9d604f,train
BRD-A58048407,nimodipine,17,16,True,False,de3470e0d12c5fd23d2400d2c72ac11691a685ae66db520bde6a43bbf5cdf32e,train
BRD-A64092382,mexiletine,14,13,True,False,f06543047e3d7551a1deb6fb4268bf43efc1fa8dfd945cb399b4b5cea4304876,train
