pert_id,ensemble_map,baseline_map,improvement,profiles,pert_iname
BRD-K08109215,0.9904761904761905,0.41040717158421974,0.5800690188919707,6,I-BET-762
BRD-K80700417,0.9782539682539682,0.5070373148347661,0.47121665341920216,6,SGI-1776
BRD-K56751279,0.5894015838554922,0.147252796702083,0.44214878715340916,6,Y-39983
BRD-K70511574,0.8222222222222221,0.38844273805911117,0.433779484163111,6,HMN-214
BRD-K82928847,0.9398809523809524,0.5199593716023008,0.4199215807786516,6,ACY-1215
BRD-K49328571,0.5868506752007457,0.1960961386266318,0.39075453657411396,19,dasatinib
BRD-K71035033,0.5737736955817451,0.18374028906499187,0.3900334065167532,6,masitinib
BRD-K57080016,0.42406517269272853,0.0825579275615068,0.3415072451312217,7,selumetinib
BRD-K99749624,1.0,0.6845611757901047,0.3154388242098954,7,linifanib
BRD-K16730910,0.4179900963261473,0.10669079208273567,0.3112993042434116,6,regorafenib
BRD-K93918653,0.6273792044617574,0.31899299723903973,0.3083862072227177,6,quizartinib
BRD-K51313569,0.7240831219822816,0.43861476390567367,0.28546835807660803,7,palbociclib
BRD-K59317601,0.7837433862433861,0.5020474435980599,0.2816959426453264,6,MLN-0128
BRD-K74514084,0.4429009573956382,0.18861444061861418,0.2542865167770241,6,pazopanib
BRD-K50168500,0.5225921834033145,0.270267722734223,0.2523244606690915,7,canertinib
BRD-K40175214,0.46646223455587893,0.2157797642668376,0.2506824702890413,7,torin-1
BRD-K57169635,0.9332887700534759,0.7197074158788719,0.21358135417460408,6,dacomitinib
BRD-K99964838,0.28740963383732926,0.0853275096740347,0.20208212416329455,6,bosutinib
BRD-K36740062,0.4331066819783697,0.2378480974066021,0.19525858457176756,6,GSK-1070916
BRD-K03449891,0.3479244522152462,0.15781935841147235,0.1901050938037738,6,foretinib
BRD-K02708799,0.533275374361278,0.3615151971085482,0.17176017725272982,17,GSK-1059615
BRD-K64800655,0.8679472426929304,0.6970321305104281,0.17091511218250233,7,PHA-793887
BRD-K21718444,0.3612823394936207,0.19567975389961137,0.16560258559400934,6,KW-2449
BRD-K76908866,0.2841602885052646,0.12198734602616527,0.16217294247909927,7,CP-724714
BRD-K20285085,0.2816949744169691,0.12020420064961027,0.16149077376735885,7,fostamatinib
BRD-K23984367,0.4104982622048695,0.2500039351407982,0.16049432706407132,7,sorafenib
BRD-K33379087,0.4342310467310467,0.2748732870699969,0.15935775966104979,6,tivantinib
BRD-K53417444,0.39044235434328317,0.23839979973728598,0.15204255460599717,6,OTS-167
BRD-K11153516,0.2534705333510617,0.11225388907244672,0.14121664427861494,6,iniparib
BRD-K74065929,0.20645815490711464,0.06790184899507073,0.1385563059120439,6,doramapimod
