pert_id,rna_plate,average_precision,top1_correct,top5_hit,pert_iname,baseline_average_precision,paired_map_improvement
BRD-A39996500,LJP005_MCF7_24H_X1_B17,1.0,1.0,1.0,radicicol,0.9821428571428571,0.017857142857142905
BRD-K02708799,LJP005_MCF7_24H_X1_B17,0.5251292725142919,1.0,1.0,GSK-1059615,0.4949219821636346,0.03020729035065728
BRD-K03449891,LJP005_MCF7_24H_X1_B17,0.2957741110798387,1.0,1.0,foretinib,0.09653024787140926,0.19924386320842943
BRD-K04887706,LJP005_MCF7_24H_X1_B17,0.20342271630781092,1.0,1.0,AKT-inhibitor-1-2,0.07622892507616166,0.12719379123164926
BRD-K07691486,LJP005_MCF7_24H_X1_B17,0.2274607029616137,0.0,1.0,roscovitine,0.2265390642972164,0.0009216386643972896
BRD-K08799216,LJP005_MCF7_24H_X1_B17,0.5152589240824534,1.0,1.0,pelitinib,0.46379501621437097,0.05146390786808247
BRD-K12184916,LJP005_MCF7_24H_X1_B17,0.3657340046344411,1.0,1.0,NVP-BEZ235,0.09188889980943644,0.2738451048250047
BRD-K37687095,LJP005_MCF7_24H_X1_B17,0.2021014596110873,0.0,1.0,AZD-8330,0.04636367563244262,0.15573778397864468
BRD-K42191735,LJP005_MCF7_24H_X1_B17,0.2735679099225897,1.0,1.0,buparlisib,0.10161921308607831,0.17194869683651143
BRD-K49328571,LJP005_MCF7_24H_X1_B17,0.4340702791496601,1.0,1.0,dasatinib,0.21273631388034106,0.22133396526931906
BRD-K49865102,LJP005_MCF7_24H_X1_B17,0.26905177901730226,1.0,1.0,PD-0325901,0.09396203466924592,0.17508974434805635
BRD-K70401845,LJP005_MCF7_24H_X1_B17,0.016307552864110935,0.0,0.0,erlotinib,0.009347243535234674,0.006960309328876261
BRD-K76908866,LJP005_MCF7_24H_X1_B17,0.35000640040962616,1.0,1.0,CP-724714,0.09522883691230975,0.2547775634973164
BRD-K79404599,LJP005_MCF7_24H_X1_B17,0.1238891746123133,0.0,1.0,enzastaurin,0.5307076188978028,-0.4068184442854895
BRD-K81528515,LJP005_MCF7_24H_X1_B17,0.13971559940318504,0.0,1.0,nilotinib,0.022244586255073622,0.11747101314811141
BRD-K85606544,LJP005_MCF7_24H_X1_B17,0.22862045102360748,1.0,1.0,neratinib,0.05989649901768967,0.1687239520059178
BRD-K87737963,LJP005_MCF7_24H_X1_B17,0.22104872251931074,0.0,1.0,CYT387,0.46344755970924195,-0.24239883718993122
BRD-A39996500,LJP005_MCF7_24H_X2_B17,1.0,1.0,1.0,radicicol,1.0,0.0
BRD-K02708799,LJP005_MCF7_24H_X2_B17,0.43345011500155795,1.0,1.0,GSK-1059615,0.3305795732608613,0.10287054174069665
BRD-K04887706,LJP005_MCF7_24H_X2_B17,0.34765125213519227,1.0,1.0,AKT-inhibitor-1-2,0.08453240619748907,0.2631188459377032
BRD-K07691486,LJP005_MCF7_24H_X2_B17,0.20233128134974918,0.0,1.0,roscovitine,0.1949475719017406,0.007383709448008563
BRD-K08799216,LJP005_MCF7_24H_X2_B17,0.520954228520018,1.0,1.0,pelitinib,0.4103092783505155,0.11064495016950254
BRD-K12184916,LJP005_MCF7_24H_X2_B17,0.3544026826635522,1.0,1.0,NVP-BEZ235,0.3360827112409391,0.0183199714226131
BRD-K37687095,LJP005_MCF7_24H_X2_B17,0.172313326419497,0.0,1.0,AZD-8330,0.02897725496150573,0.14333607145799127
BRD-K49328571,LJP005_MCF7_24H_X2_B17,0.38346658201997286,1.0,1.0,dasatinib,0.15802043379115147,0.2254461482288214
BRD-K49865102,LJP005_MCF7_24H_X2_B17,0.18238378979536266,0.0,1.0,PD-0325901,0.06484057169045951,0.11754321810490315
BRD-K70401845,LJP005_MCF7_24H_X2_B17,0.016913942797305296,0.0,0.0,erlotinib,0.029604143418894915,-0.012690200621589619
BRD-K76908866,LJP005_MCF7_24H_X2_B17,0.2275437457649316,0.0,1.0,CP-724714,0.05003285563299408,0.17751089013193752
BRD-K79090631,LJP005_MCF7_24H_X2_B17,0.3136105897446526,0.0,1.0,CGP-60474,0.39777519635284353,-0.08416460660819092
BRD-K79404599,LJP005_MCF7_24H_X2_B17,0.047963912187086975,0.0,1.0,enzastaurin,0.653369548102661,-0.6054056359155741
BRD-K81528515,LJP005_MCF7_24H_X2_B17,0.11656302396433976,0.0,1.0,nilotinib,0.18850471433789862,-0.07194169037355885
BRD-K85606544,LJP005_MCF7_24H_X2_B17,0.29725628638672114,0.0,1.0,neratinib,0.3147036636492296,-0.017447377262508446
BRD-K87737963,LJP005_MCF7_24H_X2_B17,0.36966074343034244,1.0,1.0,CYT387,0.09828702677575028,0.27137371665459215
BRD-A39996500,LJP005_MCF7_24H_X3_B17,1.0,1.0,1.0,radicicol,0.9821428571428571,0.017857142857142905
BRD-K02708799,LJP005_MCF7_24H_X3_B17,0.3156925081806559,0.0,1.0,GSK-1059615,0.16943501929624094,0.14625748888441498
BRD-K03449891,LJP005_MCF7_24H_X3_B17,0.3299067599067599,1.0,1.0,foretinib,0.255850988700565,0.07405577120619489
BRD-K04887706,LJP005_MCF7_24H_X3_B17,0.22595993027398634,1.0,1.0,AKT-inhibitor-1-2,0.10934935707960684,0.1166105731943795
BRD-K07691486,LJP005_MCF7_24H_X3_B17,0.05784006472321584,0.0,0.0,roscovitine,0.11635174967731278,-0.05851168495409694
BRD-K08799216,LJP005_MCF7_24H_X3_B17,0.515167191482981,1.0,1.0,pelitinib,0.6152572523262179,-0.1000900608432369
BRD-K12184916,LJP005_MCF7_24H_X3_B17,0.2767687962370529,0.0,1.0,NVP-BEZ235,0.2341856060606061,0.04258319017644682
BRD-K37687095,LJP005_MCF7_24H_X3_B17,0.19687463836400007,0.0,1.0,AZD-8330,0.02318670710650092,0.17368793125749915
BRD-K42191735,LJP005_MCF7_24H_X3_B17,0.15944705567656386,0.0,1.0,buparlisib,0.3513392857142857,-0.19189223003772182
BRD-K49328571,LJP005_MCF7_24H_X3_B17,0.48434494820731594,1.0,1.0,dasatinib,0.2220494075792349,0.262295540628081
BRD-K49865102,LJP005_MCF7_24H_X3_B17,0.29455395263147727,1.0,1.0,PD-0325901,0.08776370958051681,0.20679024305096044
BRD-K70401845,LJP005_MCF7_24H_X3_B17,0.028004254529348644,0.0,0.0,erlotinib,0.21818119837930494,-0.1901769438499563
BRD-K76908866,LJP005_MCF7_24H_X3_B17,0.46541565200783075,1.0,1.0,CP-724714,0.1036750578432347,0.36174059416459603
BRD-K79090631,LJP005_MCF7_24H_X3_B17,0.28865889772931685,0.0,1.0,CGP-60474,0.3428876996969587,-0.05422880196764185
BRD-K79404599,LJP005_MCF7_24H_X3_B17,0.04401026585998206,0.0,0.0,enzastaurin,0.6797846889952153,-0.6357744231352332
BRD-K81528515,LJP005_MCF7_24H_X3_B17,0.19382539367419951,1.0,1.0,nilotinib,0.20107676985492642,-0.0072513761807269095
BRD-K85606544,LJP005_MCF7_24H_X3_B17,0.27731570608041195,1.0,1.0,neratinib,0.14397889129126454,0.1333368147891474
BRD-K87737963,LJP005_MCF7_24H_X3_B17,0.3069844979782868,1.0,1.0,CYT387,0.7359903381642511,-0.42900584018596427
BRD-A39996500,LJP005_MCF7_24H_X4_B19,1.0,1.0,1.0,radicicol,1.0,0.0
BRD-K02708799,LJP005_MCF7_24H_X4_B19,0.11479262128743886,0.0,0.0,GSK-1059615,0.2628252101562811,-0.1480325888688422
BRD-K03449891,LJP005_MCF7_24H_X4_B19,0.29052946930789925,0.0,1.0,foretinib,0.10244663382594418,0.18808283548195506
BRD-K04887706,LJP005_MCF7_24H_X4_B19,0.022202008264175056,0.0,0.0,AKT-inhibitor-1-2,0.06021830047849739,-0.03801629221432233
BRD-K07691486,LJP005_MCF7_24H_X4_B19,0.18599494959209886,0.0,1.0,roscovitine,0.17685047287374966,0.009144476718349198
