minimum_plates,compounds,profiles,method,mean_average_precision,nearest_neighbor_accuracy,top5_hit_rate,queries,pair_auroc,positive_cross_plate_pairs,negative_cross_plate_pairs
3,1548,5027,shrinkage_lda,0.12906792048855817,0.15118360851402426,0.2359259996021484,5027,0.8318943235995032,6564,12503113
3,1548,5027,contrastive_lda_ensemble,0.11365019024146798,0.1308931768450368,0.21404416152775016,5027,0.8137393933494024,6564,12503113
3,1548,5027,raw_cosine,0.06972132772469405,0.0871295006962403,0.1483986473045554,5027,0.6930537670574327,6564,12503113
3,1548,5027,limma_weighted,0.06811680649945352,0.0833499104833897,0.14680724089914463,5027,0.6939701243322777,6564,12503113
3,1548,5027,replicate_contrastive,0.05901812696942031,0.06385518201710762,0.12552218022677541,5027,0.7551216905392826,6564,12503113
3,1548,5027,pca_64,0.0409374569768064,0.04893574696638154,0.10324249055102447,5027,0.6503676616148822,6564,12503113
4,133,782,shrinkage_lda,0.40946140192552005,0.5754475703324808,0.7941176470588235,782,0.8920040486878336,2319,293088
4,133,782,contrastive_lda_ensemble,0.3592097573118209,0.4820971867007673,0.7404092071611253,782,0.8588444323256411,2319,293088
4,133,782,replicate_contrastive,0.22263005588810886,0.2864450127877238,0.5140664961636828,782,0.8003135743284951,2319,293088
4,133,782,limma_weighted,0.20416556760810162,0.3388746803069054,0.5421994884910486,782,0.7160688207133229,2319,293088
4,133,782,raw_cosine,0.2035170954329219,0.34654731457800514,0.5358056265984654,782,0.7123811898823906,2319,293088
4,133,782,pca_64,0.13042569487392588,0.21611253196930946,0.42071611253196933,782,0.6604860799489787,2319,293088
5,86,594,shrinkage_lda,0.435003270868095,0.6161616161616161,0.8501683501683501,594,0.8946118554714817,2037,170048
5,86,594,contrastive_lda_ensemble,0.3855030378632533,0.5303030303030303,0.7946127946127947,594,0.8650773461474576,2037,170048
5,86,594,replicate_contrastive,0.25521592822816186,0.3451178451178451,0.5841750841750841,594,0.8092477114434893,2037,170048
5,86,594,limma_weighted,0.2169546740915005,0.3686868686868687,0.5841750841750841,594,0.7155704651656067,2037,170048
5,86,594,raw_cosine,0.21640169420739883,0.37542087542087543,0.5774410774410774,594,0.7117639393833575,2037,170048
5,86,594,pca_64,0.14898628465323185,0.27104377104377103,0.4730639730639731,594,0.6577218995164541,2037,170048
6,81,569,shrinkage_lda,0.44462679553710033,0.6221441124780316,0.8541300527240774,569,0.8946444800996006,1987,155891
6,81,569,contrastive_lda_ensemble,0.3930613470230112,0.5325131810193322,0.8031634446397188,569,0.8644630708750447,1987,155891
6,81,569,replicate_contrastive,0.26197539866544284,0.3585237258347979,0.5940246045694201,569,0.8082029732509891,1987,155891
6,81,569,limma_weighted,0.2189863451343975,0.37258347978910367,0.5940246045694201,569,0.7116220763299839,1987,155891
6,81,569,raw_cosine,0.2180815312900398,0.37609841827768015,0.5852372583479789,569,0.707712068841721,1987,155891
6,81,569,pca_64,0.14998821799251572,0.281195079086116,0.4797891036906854,569,0.6526791717092069,1987,155891
7,35,293,shrinkage_lda,0.513039983677383,0.7133105802047781,0.9044368600682594,293,0.8852305032629035,1297,39927
7,35,293,contrastive_lda_ensemble,0.4533919389310723,0.6109215017064846,0.8668941979522184,293,0.8531395934820831,1297,39927
7,35,293,replicate_contrastive,0.3238273493986621,0.4061433447098976,0.7098976109215017,293,0.7960352817368953,1297,39927
7,35,293,limma_weighted,0.26830602661847036,0.447098976109215,0.6825938566552902,293,0.686506459485168,1297,39927
7,35,293,raw_cosine,0.26656472170639006,0.44368600682593856,0.6791808873720137,293,0.6821500703703303,1297,39927
7,35,293,pca_64,0.19386389336284326,0.35494880546075086,0.5836177474402731,293,0.6273172904467383,1297,39927
