pathway,pathway_genes_in_landmarks,top100_overlap,overlap_gene_ids,hypergeometric_pvalue,bh_fdr
HALLMARK_TNFA_SIGNALING_VIA_NFKB,38,17,11182;1647;1846;1958;2353;25976;3280;3398;4088;4609;4616;4792;595;7538;8061;8553;8870,1.8894566694358387e-08,9.447283347179194e-07
HALLMARK_ESTROGEN_RESPONSE_EARLY,30,14,11098;2222;2274;2353;25976;25987;2810;3280;3480;4609;55793;595;7074;8553,2.0775044480251487e-07,5.193761120062872e-06
HALLMARK_MTORC1_SIGNALING,49,16,10682;10797;26227;3156;3157;3638;47;4860;54541;6790;7296;8503;8553;899;9695;993,8.720365309447837e-06,0.0001453394218241306
HALLMARK_P53_PATHWAY,39,12,1050;1643;1647;2309;2353;2810;3162;5111;5154;54541;63874;8870,0.0002538736951057359,0.0031734211888216983
HALLMARK_UV_RESPONSE_DN,25,9,1027;2274;3480;3638;4088;4609;8503;8553;8821,0.00043556466050220175,0.004355646605022018
HALLMARK_ESTROGEN_RESPONSE_LATE,34,10,11098;2222;2353;2582;2810;2852;3398;595;7074;7538,0.0012918074368570875,0.010765061973809062
HALLMARK_HYPOXIA,41,11,1027;2309;23210;2353;25976;3162;54541;665;7538;8553;8870,0.0017015832287903534,0.012154165919931096
HALLMARK_ANDROGEN_RESPONSE,19,6,10513;3156;3157;3638;595;8821,0.008845414459117908,0.05528384036948693
HALLMARK_APOPTOSIS,40,9,1027;10682;1647;3162;4616;595;665;6709;8870,0.015609629007525239,0.08672016115291799
HALLMARK_G2M_CHECKPOINT,48,10,1027;22809;3312;3930;4088;4609;595;6790;899;993,0.018758527395434935,0.09379263697717469
HALLMARK_CHOLESTEROL_HOMEOSTASIS,17,5,10682;2222;22809;3156;3157,0.02304806109940392,0.10476391408819964
HALLMARK_IL2_STAT5_SIGNALING,27,6,3480;4609;4616;4860;7074;8553,0.04906969695342796,0.20445707063928317
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,24,5,10797;54541;55033;9695;9709,0.0891101290833722,0.3427312657052777
HALLMARK_PI3K_AKT_MTOR_SIGNALING,26,5,1027;10451;2810;7074;8503,0.11727462283304729,0.4188379386894546
HALLMARK_TGF_BETA_SIGNALING,7,2,3398;4088,0.15480178231504785,0.4831076614905957
HALLMARK_NOTCH_SIGNALING,7,2,3280;595,0.15480178231504785,0.4831076614905957
HALLMARK_E2F_TARGETS,53,8,1027;10797;11168;3930;4609;5111;6790;993,0.16425660490680255,0.4831076614905957
HALLMARK_MITOTIC_SPINDLE,30,5,10276;6709;6790;7074;9181,0.18430582636269852,0.5119606287852736
HALLMARK_MYOGENESIS,18,3,4616;6709;8553,0.2768869914395125,0.7286499774724013
HALLMARK_UV_RESPONSE_UP,29,4,11232;2353;3162;4792,0.34382356538037423,0.8595589134509355
HALLMARK_HEME_METABOLISM,22,3,2309;5909;665,0.39444534822623034,0.9391555910148341
HALLMARK_DNA_REPAIR,23,3,1643;4860;5111,0.42335909480842465,0.9621797609282379
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,25,3,1647;3398;4616,0.4796916576564932,1.0
HALLMARK_INFLAMMATORY_RESPONSE,16,2,4609;4792,0.49903620191292564,1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,7,1,7296,0.5311623118185256,1.0
HALLMARK_ANGIOGENESIS,7,1,5154,0.5311623118185256,1.0
HALLMARK_XENOBIOTIC_METABOLISM,28,3,3162;3398;5909,0.5590846166818655,1.0
HALLMARK_MYC_TARGETS_V2,9,1,4609,0.622802366597008,1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,9,1,4609,0.622802366597008,1.0
HALLMARK_GLYCOLYSIS,42,4,2582;54541;6790;8870,0.6394352076122519,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,33,3,10797;4792;4860,0.6741699517581956,1.0
HALLMARK_MYC_TARGETS_V1,22,2,4609;5111,0.6765018965178397,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,12,1,3162,0.7280419303516836,1.0
HALLMARK_COAGULATION,12,1,11098,0.7280419303516836,1.0
HALLMARK_ADIPOGENESIS,26,2,1647;47,0.764197225171166,1.0
HALLMARK_SPERMATOGENESIS,15,1,6790,0.8041298670085858,1.0
HALLMARK_APICAL_JUNCTION,29,2,3638;8503,0.8158546671485059,1.0
HALLMARK_KRAS_SIGNALING_UP,19,1,3398,0.873761477596061,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,22,1,8050,0.9093104760601206,1.0
HALLMARK_FATTY_ACID_METABOLISM,22,1,3157,0.9093104760601206,1.0
HALLMARK_COMPLEMENT,30,1,3303,0.962658664010599,1.0
HALLMARK_KRAS_SIGNALING_DN,5,0,,1.0,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,8,0,,1.0,1.0
HALLMARK_APICAL_SURFACE,6,0,,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,25,0,,1.0,1.0
HALLMARK_BILE_ACID_METABOLISM,8,0,,1.0,1.0
HALLMARK_HEDGEHOG_SIGNALING,5,0,,1.0,1.0
HALLMARK_PANCREAS_BETA_CELLS,1,0,,1.0,1.0
HALLMARK_PROTEIN_SECRETION,13,0,,1.0,1.0
HALLMARK_PEROXISOME,16,0,,1.0,1.0
