pert_id,rna_plate,average_precision,top1_correct,top5_hit,split,method
BRD-K55127134,ASG001_MCF7_6H_X2,0.04283473779390097,0.0,0.0,validation,filzen_continuous
BRD-K88378636,ASG001_MCF7_6H_X2,0.26038579391176103,1.0,1.0,validation,filzen_continuous
BRD-A06352418,CPC004_MCF7_6H_X1,0.03130631835461258,0.0,0.0,validation,filzen_continuous
BRD-A09056319,CPC004_MCF7_6H_X1,0.03261621455447794,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC004_MCF7_6H_X1,0.17518061475667432,1.0,1.0,validation,filzen_continuous
BRD-A29734509,CPC004_MCF7_6H_X1,0.027050135846781617,0.0,0.0,validation,filzen_continuous
BRD-A42759514,CPC004_MCF7_6H_X1,0.08125238980987388,0.0,0.0,validation,filzen_continuous
BRD-A64977602,CPC004_MCF7_6H_X1,0.025257976713059557,0.0,0.0,validation,filzen_continuous
BRD-A66559694,CPC004_MCF7_6H_X1,0.024236969863703064,0.0,0.0,validation,filzen_continuous
BRD-A91699651,CPC004_MCF7_6H_X1,0.04472938373113425,0.0,0.0,validation,filzen_continuous
BRD-A97701745,CPC004_MCF7_6H_X1,0.042902640554422146,0.0,0.0,validation,filzen_continuous
BRD-K25224017,CPC004_MCF7_6H_X1,0.06260035799649573,0.0,0.0,validation,filzen_continuous
BRD-K28307902,CPC004_MCF7_6H_X1,0.04609229460946369,0.0,0.0,validation,filzen_continuous
BRD-K30240666,CPC004_MCF7_6H_X1,0.021541787501226612,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC004_MCF7_6H_X1,0.023399381890984977,0.0,0.0,validation,filzen_continuous
BRD-K39987650,CPC004_MCF7_6H_X1,0.1029157029061917,0.0,0.0,validation,filzen_continuous
BRD-K46937689,CPC004_MCF7_6H_X1,0.027000260254752533,0.0,0.0,validation,filzen_continuous
BRD-K54233340,CPC004_MCF7_6H_X1,0.917037507946599,1.0,1.0,validation,filzen_continuous
BRD-K60762818,CPC004_MCF7_6H_X1,0.05115264547326248,0.0,1.0,validation,filzen_continuous
BRD-K68507560,CPC004_MCF7_6H_X1,0.028202680236453937,0.0,0.0,validation,filzen_continuous
