direction,training_generalized_eigenvalue,heldout_generalized_eigenvalue
1,32.903653919194966,47.786878498577764
2,23.010305148299192,25.503887667151943
3,20.646137923921216,24.134955030531657
4,16.409039668103254,18.535755259530767
5,13.48492408653575,17.308384945234774
6,11.061014714639112,15.910921664986185
7,9.837060297010495,13.107448504260908
8,7.888766601130698,11.056866663695082
9,7.110740875886689,7.310438608017066
10,6.5710549913426375,6.59609194884532
11,5.679168511784992,6.270258107150486
12,4.9787226491855465,6.037304781190216
13,4.8721808278513725,5.560630934012259
14,4.220356127079876,5.363391194323252
15,4.1180688595536665,5.149588789994475
16,3.8110157082974356,5.091762710421483
17,3.4304883433773234,4.984878775538104
18,3.316347149517831,4.792551822923606
19,3.1093673397530552,4.634042585876965
20,2.9738949111504223,4.43174493798363
21,2.6932295877572288,4.342098362829885
22,2.629500902211815,4.29561892300827
23,2.6135004046071577,4.260605310011583
24,2.5699622331772605,4.167126907114549
25,2.497750375251612,4.080601579826022
26,2.4249560006216697,3.941335842993347
27,2.356784553873427,3.764159488374904
28,2.2170893867419474,3.610064574835235
29,2.1678641246099426,3.5991987994233483
30,2.1565158887497136,3.530579592013279
31,2.1350804789005857,3.414671280431899
32,2.0762128480638773,3.3780503397819426
33,2.0446712665483497,3.3221172659090303
34,1.9942050358546368,3.209041477193813
35,1.936615515824944,3.1288339925733095
36,1.883050870468979,3.0525681522787953
37,1.828702959019004,3.0217885300807943
38,1.8099589963823248,2.925667548710084
39,1.7705284580371805,2.8794953383724042
40,1.7027918403954976,2.8042521934992997
41,1.67251719257581,2.7667430802342476
42,1.6450722495902457,2.696767181125518
43,1.6157389272857596,2.6081369351350396
44,1.5900464395427534,2.518905059816157
45,1.5805407329540633,2.4184474994068323
46,1.5458238228700747,2.408874869076407
47,1.5226891838003696,2.398066719263582
48,1.5085956159703335,2.2462093733994997
49,1.4759375734686448,2.2053213365493383
50,1.45555041076919,2.158360833835426
51,1.4258273563020751,2.1046767285242622
52,1.3985594252818636,2.0836282541213595
53,1.3861570111556778,2.014094143884693
54,1.3458966500264125,1.9466808890064076
55,1.342711576313122,1.86114326196168
56,1.3036846700295963,1.8460194817564395
57,1.2913307542916226,1.815068850423215
58,1.24397821473955,1.7459795093087263
59,1.2197078904250855,1.729915874453884
60,1.1982589231550265,1.7073056914254556
61,1.1892423825517773,1.6265154460731182
62,1.1660110486352733,1.5742705263788257
63,1.1551379791317797,1.537163052297722
64,1.1439634322562804,1.457241278190081
65,1.135470017506112,1.4351037284187513
66,1.1111988368206036,1.3700528024502043
67,1.0991685025939983,1.292087272050868
68,1.0726531784988262,3.340871573405453e-14
69,1.050086289936713,2.678716884351481e-14
70,1.0366507304297508,2.6548149384795037e-14
71,0.9979471257707699,2.579665549330342e-14
72,0.9927551313806514,2.5273032304176705e-14
73,0.9700837368677605,2.4745024684056065e-14
74,0.933615010006391,2.459774380108887e-14
75,0.9315272884829519,2.4177639190004044e-14
76,0.9198003085554651,2.3982736336290503e-14
77,0.9022621037273411,2.3709744329169725e-14
78,0.8877168815886137,2.2964615553191638e-14
79,0.8774291757777954,2.2824044086530483e-14
80,0.8710662851807611,2.254880231010802e-14
81,0.8257459728802629,2.2217488357910932e-14
82,0.8172517158420296,2.2070507655445443e-14
83,0.7998236117045081,2.1819566329477117e-14
84,0.7873401363850189,2.1581492383912322e-14
85,0.7692643493716059,2.140173667918795e-14
86,0.7543326626915837,2.1175083508769703e-14
87,0.7309106759630224,2.0818312993590253e-14
88,0.7022087900556164,2.0756957204219276e-14
89,0.7003028240839013,2.056697976546533e-14
90,0.6849302062998005,2.0476193302354875e-14
91,0.6573934057590389,2.0251989962598448e-14
92,0.6537008716300218,1.9888321869120703e-14
93,0.6148965670708916,1.978227743483182e-14
94,0.6009849856011753,1.945388940305824e-14
95,0.5740851783536797,1.9327509322021467e-14
96,0.5536825351035028,1.902192866592533e-14
97,0.5246866130723961,1.890478417194062e-14
98,0.4978053753085923,1.8891042409442864e-14
99,0.22978226831696089,1.869490261506711e-14
100,2.4642156997679808e-14,1.8187453222785768e-14
101,2.3326169249351976e-14,1.8063665907439943e-14
102,2.3152163492784576e-14,1.788852829227191e-14
103,2.2274097213290467e-14,1.777940266593221e-14
104,2.16263048788032e-14,1.768964771519891e-14
105,2.1297059145192902e-14,1.7504883700032715e-14
106,2.107701651223831e-14,1.7317631462259594e-14
107,2.047659379304717e-14,1.7186784754175766e-14
108,2.0266036984712225e-14,1.7062422469108186e-14
109,1.9476660037966387e-14,1.6878980179064787e-14
110,1.895191146819443e-14,1.6792057832961094e-14
111,1.861812938220853e-14,1.6509093495865062e-14
112,1.8313773663701012e-14,1.642208480909818e-14
113,1.785823070422424e-14,1.6185330409576648e-14
114,1.769331544096795e-14,1.6120884139963545e-14
115,1.735970714158692e-14,1.5968525988811656e-14
116,1.722636460122969e-14,1.5824225886424343e-14
117,1.6848070868117163e-14,1.5713646726823e-14
118,1.6529578532665336e-14,1.5590534256714266e-14
119,1.6220071878284144e-14,1.5517111018928748e-14
120,1.6019544274079376e-14,1.5362524501401222e-14
121,1.591787280111179e-14,1.5282464073803223e-14
122,1.5751841657584027e-14,1.5159228375248317e-14
123,1.5479975980219624e-14,1.4931945304412553e-14
124,1.5397523916289902e-14,1.4753396553882886e-14
125,1.523944393841152e-14,1.4601713386782995e-14
126,1.4983104146136293e-14,1.4427315760401567e-14
127,1.4845211176951316e-14,1.428680293700039e-14
128,1.470581132768912e-14,1.4233176481399807e-14
129,1.446915545515283e-14,1.4149283484423231e-14
130,1.4279163546597966e-14,1.3974307781361337e-14
