pert_id,rna_plate,reciprocal_rank,top1_correct,top5_hit,cohort,method
BRD-K27305650,ASG001_MCF7_6H_X2,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K89732114,ASG001_MCF7_6H_X2,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-A54880345,CPC004_MCF7_6H_X1,0.04,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A55913614,CPC004_MCF7_6H_X1,0.0625,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A75552914,CPC004_MCF7_6H_X1,0.029411764705882353,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A79981887,CPC004_MCF7_6H_X1,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K02265150,CPC004_MCF7_6H_X1,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K22031190,CPC004_MCF7_6H_X1,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC004_MCF7_6H_X1,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC004_MCF7_6H_X1,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K29458283,CPC004_MCF7_6H_X1,0.2,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K32247306,CPC004_MCF7_6H_X1,0.05555555555555555,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38055836,CPC004_MCF7_6H_X1,0.04,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC004_MCF7_6H_X1,0.03125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K66353228,CPC004_MCF7_6H_X1,0.04,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K67043667,CPC004_MCF7_6H_X1,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC004_MCF7_6H_X1,0.047619047619047616,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC004_MCF7_6H_X1,0.03571428571428571,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC004_MCF7_6H_X1,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC004_MCF7_6H_X1,0.2,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K79759585,CPC004_MCF7_6H_X1,0.03571428571428571,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A54880345,CPC004_MCF7_6H_X2,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A55913614,CPC004_MCF7_6H_X2,0.043478260869565216,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A75552914,CPC004_MCF7_6H_X2,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-A79981887,CPC004_MCF7_6H_X2,0.16666666666666666,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K02265150,CPC004_MCF7_6H_X2,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K22031190,CPC004_MCF7_6H_X2,0.029411764705882353,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC004_MCF7_6H_X2,0.03225806451612903,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC004_MCF7_6H_X2,0.037037037037037035,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K29458283,CPC004_MCF7_6H_X2,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K32247306,CPC004_MCF7_6H_X2,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38055836,CPC004_MCF7_6H_X2,0.043478260869565216,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC004_MCF7_6H_X2,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K66353228,CPC004_MCF7_6H_X2,0.037037037037037035,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K67043667,CPC004_MCF7_6H_X2,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC004_MCF7_6H_X2,0.047619047619047616,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC004_MCF7_6H_X2,0.06666666666666667,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC004_MCF7_6H_X2,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC004_MCF7_6H_X2,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K79759585,CPC004_MCF7_6H_X2,0.038461538461538464,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A54880345,CPC004_MCF7_6H_X4,0.07142857142857142,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A55913614,CPC004_MCF7_6H_X4,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A75552914,CPC004_MCF7_6H_X4,0.037037037037037035,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A79981887,CPC004_MCF7_6H_X4,0.03333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K02265150,CPC004_MCF7_6H_X4,0.029411764705882353,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K22031190,CPC004_MCF7_6H_X4,0.03333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC004_MCF7_6H_X4,0.037037037037037035,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC004_MCF7_6H_X4,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K29458283,CPC004_MCF7_6H_X4,0.03333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K32247306,CPC004_MCF7_6H_X4,0.058823529411764705,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38055836,CPC004_MCF7_6H_X4,0.2,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC004_MCF7_6H_X4,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K66353228,CPC004_MCF7_6H_X4,0.041666666666666664,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K67043667,CPC004_MCF7_6H_X4,0.045454545454545456,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC004_MCF7_6H_X4,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC004_MCF7_6H_X4,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC004_MCF7_6H_X4,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC004_MCF7_6H_X4,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K79759585,CPC004_MCF7_6H_X4,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A54880345,CPC004_MCF7_6H_X5,0.03225806451612903,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A55913614,CPC004_MCF7_6H_X5,0.05,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A75552914,CPC004_MCF7_6H_X5,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-A79981887,CPC004_MCF7_6H_X5,0.041666666666666664,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K02265150,CPC004_MCF7_6H_X5,0.1,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K22031190,CPC004_MCF7_6H_X5,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC004_MCF7_6H_X5,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC004_MCF7_6H_X5,0.05,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K29458283,CPC004_MCF7_6H_X5,0.03225806451612903,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38055836,CPC004_MCF7_6H_X5,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC004_MCF7_6H_X5,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K66353228,CPC004_MCF7_6H_X5,0.038461538461538464,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K67043667,CPC004_MCF7_6H_X5,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC004_MCF7_6H_X5,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC004_MCF7_6H_X5,0.06666666666666667,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC004_MCF7_6H_X5,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC004_MCF7_6H_X5,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K79759585,CPC004_MCF7_6H_X5,0.25,0.0,1.0,phase1_test,raw_mean_consensus
BRD-A26711594,CPC005_MCF7_6H_X1,0.038461538461538464,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A36217750,CPC005_MCF7_6H_X1,0.047619047619047616,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K27305650,CPC005_MCF7_6H_X1,0.037037037037037035,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K46211610,CPC005_MCF7_6H_X1,0.047619047619047616,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K67511046,CPC005_MCF7_6H_X1,0.2,0.0,1.0,phase1_test,raw_mean_consensus
