pert_id,rna_plate,average_precision,top1_correct,top5_hit,cell_line,method
BRD-A39996500,LJP005_A375_24H_X1_B19,0.9111111111111111,1.0,1.0,A375,raw_cosine
BRD-K02708799,LJP005_A375_24H_X1_B19,0.038901258193307864,0.0,0.0,A375,raw_cosine
BRD-K03449891,LJP005_A375_24H_X1_B19,0.077449987447868,0.0,1.0,A375,raw_cosine
BRD-K04887706,LJP005_A375_24H_X1_B19,0.013187485466982124,0.0,0.0,A375,raw_cosine
BRD-K08799216,LJP005_A375_24H_X1_B19,1.0,1.0,1.0,A375,raw_cosine
BRD-K12184916,LJP005_A375_24H_X1_B19,0.10548537548537548,0.0,1.0,A375,raw_cosine
BRD-K37687095,LJP005_A375_24H_X1_B19,0.08715310514449683,0.0,0.0,A375,raw_cosine
BRD-K42191735,LJP005_A375_24H_X1_B19,0.4089870010710336,1.0,1.0,A375,raw_cosine
BRD-K49328571,LJP005_A375_24H_X1_B19,0.06049772390005828,0.0,1.0,A375,raw_cosine
BRD-K49865102,LJP005_A375_24H_X1_B19,0.038292275504914666,0.0,0.0,A375,raw_cosine
BRD-K70401845,LJP005_A375_24H_X1_B19,0.0821563277028864,0.0,0.0,A375,raw_cosine
BRD-K76908866,LJP005_A375_24H_X1_B19,0.06377062793281732,0.0,0.0,A375,raw_cosine
BRD-K79090631,LJP005_A375_24H_X1_B19,0.01611581433984074,0.0,0.0,A375,raw_cosine
BRD-K81528515,LJP005_A375_24H_X1_B19,0.49002463054187195,1.0,1.0,A375,raw_cosine
BRD-K87737963,LJP005_A375_24H_X1_B19,0.2182340647857889,0.0,1.0,A375,raw_cosine
BRD-A39996500,LJP005_A375_24H_X2_B19,0.48240240240240234,1.0,1.0,A375,raw_cosine
BRD-K02708799,LJP005_A375_24H_X2_B19,0.2974720348177325,1.0,1.0,A375,raw_cosine
BRD-K03449891,LJP005_A375_24H_X2_B19,0.3441868666245963,1.0,1.0,A375,raw_cosine
BRD-K04887706,LJP005_A375_24H_X2_B19,0.2215348992670887,1.0,1.0,A375,raw_cosine
BRD-K08799216,LJP005_A375_24H_X2_B19,0.885,1.0,1.0,A375,raw_cosine
BRD-K12184916,LJP005_A375_24H_X2_B19,0.06857337827765134,0.0,0.0,A375,raw_cosine
BRD-K37687095,LJP005_A375_24H_X2_B19,0.30553629976580793,1.0,1.0,A375,raw_cosine
BRD-K42191735,LJP005_A375_24H_X2_B19,0.4089713422099786,1.0,1.0,A375,raw_cosine
BRD-K49328571,LJP005_A375_24H_X2_B19,0.04092350488138182,0.0,0.0,A375,raw_cosine
BRD-K49865102,LJP005_A375_24H_X2_B19,0.06387640011275,0.0,0.0,A375,raw_cosine
BRD-K70401845,LJP005_A375_24H_X2_B19,0.4243120102059413,1.0,1.0,A375,raw_cosine
BRD-K76908866,LJP005_A375_24H_X2_B19,0.3604874432397368,1.0,1.0,A375,raw_cosine
BRD-K79090631,LJP005_A375_24H_X2_B19,0.06764078063902204,0.0,0.0,A375,raw_cosine
BRD-K81528515,LJP005_A375_24H_X2_B19,0.07535049578831057,0.0,0.0,A375,raw_cosine
