training_compounds,plates_per_compound,method,short_schedule_validation_map,main_schedule_validation_map,main_schedule_selected_epoch,main_schedule_steps_per_epoch,main_schedule_max_epochs,main_schedule_patience,shrinkage_lda_validation_map,lda_leads_main_schedule_fit
20,3,replicate_contrastive,0.0705834761877167,0.0737050533213216,49,12,120,18,0.1003899624978755,True
20,3,filzen_continuous,0.048597475192374,0.049757809051362255,18,16,80,14,0.1003899624978755,True
20,6,replicate_contrastive,0.0997784006468091,0.10179958553375891,47,12,120,18,0.1253006533796015,True
20,6,filzen_continuous,0.0495068747178294,0.058397259158038305,76,16,80,14,0.1253006533796015,True
20,9,replicate_contrastive,0.1110039213346716,0.11276090393791298,94,12,120,18,0.1414759044556358,True
20,9,filzen_continuous,0.0517870838710377,0.060410761633743766,73,16,80,14,0.1414759044556358,True
20,12,replicate_contrastive,0.1099008146638038,0.12666237808321662,35,12,120,18,0.1469560825667719,True
20,12,filzen_continuous,0.0498264679584175,0.06502807365985101,72,16,80,14,0.1469560825667719,True
100,12,replicate_contrastive,0.1616203283528468,0.16838348459718258,20,19,120,18,0.2043180383077012,True
100,12,filzen_continuous,0.0525917618786669,0.07953548372611498,80,16,80,14,0.2043180383077012,True
