sample_id,pert_id,pert_iname,rna_plate,n_treatment_wells,n_vehicle_wells,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
BRD-A19037878|ASG001_MCF7_6H_X2,BRD-A19037878,trichostatin-a,ASG001_MCF7_6H_X2,4,16,16.374818421284488,168.32739994948076,44.54691229808702,80.58696085463504,131.09432202559947,15.640244120560396,106.59142646029926,150.21694139857743,131.96185492094128,194.4302006040661,163.14207392235505,89.32197337744572,-32.404003656619864,174.94766436145835,72.67212770942808,67.83558352463109,79.27976495663927,-69.73803336189246,102.38456877389171,-151.91247003723248,139.93429515318087,154.7962817852831,157.5925637102327,288.5877526830122,142.76689330851474,191.66355350837773,172.82761713732378,246.62959318409742,297.94943123755496,-6.530018424784032,85.6263256821992,-95.18168323145687,-151.2825902596045,122.23897950475106,133.28114159689812,-6.843636075238976,58.04849447970088,66.62963573892438,94.8206036985431,88.03254226534489,148.7604937126094,30.549094905173604,82.98123281909488,137.09465323016997,89.09683559818012,41.75575091754075,125.30951112472763,34.03544448977834,119.22643154831036
BRD-A19500257|ASG001_MCF7_6H_X2,BRD-A19500257,geldanamycin,ASG001_MCF7_6H_X2,4,16,14.822336322799686,184.67871008637832,-37.079633019420555,16.51803531850652,82.79389663945625,75.55164862008468,125.07755772621783,-78.13689281934273,75.13322404921928,62.192653605998316,120.33436555440335,-34.49102755526252,-5.632106119422247,205.29108046476756,33.659843343848706,-0.6635388426590794,16.444297409968044,-26.366138752071322,141.4829835379267,-106.15430449094328,45.287830860456495,182.31215420092997,67.39855227924585,270.91682610060315,172.73823614949322,180.19827363948474,175.82270193756256,237.5438178109914,252.0118162581415,56.884952977601415,124.32723136732704,-48.600620686885975,-36.249035051478984,137.8885066850674,55.85778302301833,-94.46556180763793,26.56926686601895,-25.38710590904543,64.51316130151076,171.00606059908273,120.25246860690453,-9.277771967156184,18.744100923285373,68.53626620522385,264.79945641587005,75.26971480918462,111.53597610917075,3.0083886778594433,100.91198805464842
BRD-A75409952|ASG001_MCF7_6H_X2,BRD-A75409952,wortmannin,ASG001_MCF7_6H_X2,4,16,-10.827925230760911,95.49337505554058,2.892468338671449,-32.74663275256569,148.14811094792015,134.19559414409628,136.8179736597175,-13.690887140517248,-28.49148803258271,157.32545567476194,154.4380698400514,-10.50833154389693,-31.141344345370726,144.395830099899,102.1381432528326,54.65802602194674,-10.500900113303999,-41.9890338403585,41.70334720285274,21.53245757874106,171.25780162774777,145.34127241820596,140.91886606072694,188.42471568580237,210.96557556290048,-10.359301219696874,41.11755601101214,328.57862889465355,186.19981551514485,-6.272252247252652,-25.703323585044018,-110.11053459797421,-51.91326180281078,73.51233177688067,-33.98429936047586,-36.72155503451182,44.12233226882199,39.654111150866356,32.25501350842762,71.71087953699907,100.56681836098562,-110.74738975734476,364.6277111439512,235.42691075335404,29.77094057873944,228.05327547522796,42.30397294689209,164.90176421553434,6.003510500761308
BRD-A79768653|ASG001_MCF7_6H_X2,BRD-A79768653,sirolimus,ASG001_MCF7_6H_X2,4,16,77.91734863469998,119.41190018126883,-16.394080877243482,-26.13056410780632,64.23794013761255,-43.53224469384435,132.20987914510766,3.155993568707572,157.32279740648073,61.51631360876365,69.79448374520206,32.39293498772014,19.647951961679837,102.19305997273,34.18513630364214,4.7877649749787,85.23113713740855,-48.50364265248095,70.91026171481207,-117.60438869279977,119.2492671696387,133.93702080704617,64.35993646146915,147.68154453512057,212.78768518192993,117.00201086436567,68.39206720067762,314.1314249011706,139.84671633990422,-76.6753569041872,54.247664999710366,-109.78819615428608,36.56651937899926,46.29270794485353,4.363085486770899,33.19632076921641,88.11602536749479,131.52657122129568,-57.43365021769074,-26.095761092927205,160.3837214217778,-68.53365572619282,83.25604711925814,129.07663769697638,149.5396138928242,135.2338423398885,80.67896896508233,143.68091903166385,100.05783105408926
BRD-A84481105|ASG001_MCF7_6H_X2,BRD-A84481105,thioridazine,ASG001_MCF7_6H_X2,4,16,16.740070292827568,224.99446040377273,-50.887135628413034,116.48450592112493,184.94053072950317,131.29436418361547,200.1579444243797,-67.82685708956433,110.04591120633069,168.38644200057075,131.85883554991426,-117.41906278173559,-23.039627642103937,210.0517249626546,-3.591569995796874,11.777309657852527,-14.561740074269267,-7.213135140142583,69.31719345805607,52.275773035588145,82.28387970268938,169.22865073875522,61.698974667536675,325.6323201057545,246.6211921437602,170.6957162876268,138.8188988064694,387.00022082861324,262.85103778382773,-66.55281555683018,34.28757802980681,-152.10182466984412,-163.6970164172934,40.7038112800264,43.84090962275758,-83.06568806489281,71.9238724415132,-12.843828520028183,95.40700563049654,55.063082563659464,-61.06838728306906,-79.32113179216202,40.32060696783145,171.18027129189733,55.32024838839686,136.69351616005855,78.70579744255917,150.58935987365498,69.87671471571196
BRD-K18910433|ASG001_MCF7_6H_X2,BRD-K18910433,estradiol,ASG001_MCF7_6H_X2,4,16,67.86783665003355,194.07370910141492,30.743723446903743,51.57871236566098,161.3124484615925,-12.170686313391968,111.53887272238075,144.73548848247066,32.35779592973171,125.40426079201882,119.3030467086121,-50.20891616733195,-62.246021298238816,201.16044490876368,96.71515840286867,51.5480843538636,-43.24952788412571,-9.199510116045474,45.53927520625132,-86.01136215934002,14.332716940120008,122.55182303933356,89.36163958978187,286.0372137994625,188.92498092349769,219.37707199915025,139.24501361394357,289.5751665720392,308.47709788615884,-41.419559438613476,-9.814810858727071,-76.18137203267219,15.534599057399646,60.17717927732855,18.610901650918777,-59.08230802962362,10.520503287677968,30.070395633080352,-25.475602578242558,-21.439111823350174,85.23373959120357,-16.53298453411469,78.07640832368105,183.5024686042549,96.89805066716514,88.23153381502908,65.75210067270024,90.17420702782283,47.92187854038275
BRD-K21680192|ASG001_MCF7_6H_X2,BRD-K21680192,mitoxantrone,ASG001_MCF7_6H_X2,4,16,124.7402879302731,159.1597360935054,40.369716513935145,23.718780579800466,111.59615383923415,-105.01436692023549,132.9162222002684,177.9464018937079,80.84171978402435,90.9438680734412,77.13926423438875,77.4966540157281,21.06817393021754,174.64598065423002,-43.09100392548521,16.873828828734418,125.71598692569535,-20.895632610728057,111.03823376695817,-150.1608129964378,167.39729859372665,108.09975980752085,-1.8042596924390182,163.12314271395684,232.38070142336682,42.55789158640346,124.81729009168077,348.6780184163768,149.6550050317298,-96.0888010648153,25.064257281245204,-10.295074396766495,-19.653458576734238,39.00051331245561,-63.70432570320503,126.57022134454769,47.25393786963531,114.76400285799872,51.866411081426065,35.944731580701045,163.80274495821226,-14.201967793096173,-26.748974092468245,76.16226847208713,15.65145073949111,-36.716741031200854,65.35994600825126,-44.60664568711354,93.5467243933935
BRD-K27305650|ASG001_MCF7_6H_X2,BRD-K27305650,LY-294002,ASG001_MCF7_6H_X2,4,16,-12.96091555006052,176.0577441004196,-113.04735775005224,-32.41714783692112,113.96784549167648,198.12080964657093,96.6108463904697,71.36221083362392,-25.279774713677853,85.17551254773502,141.02771983640565,44.1834815930157,26.637648249544895,147.55536334744488,14.26584865072897,14.660452130066744,3.672270009927047,-19.948307552207837,11.96929569033091,32.33232501053453,40.70658565853779,116.95317105521485,152.42842209177763,176.4371681544622,195.53467314731466,225.63424590706018,125.6042314719017,299.60633110907776,243.8091056839262,-62.949537869723656,-76.86620257645069,-117.7608279201732,-133.49039677693975,39.66163122586619,71.69379533236514,-34.108220278025726,13.160938948659748,-28.48805148226512,-28.93716198554057,107.79132901763234,81.66694285240612,-160.23435988267687,155.0443780389386,140.86067482940751,41.93508932925016,195.10237881592286,-8.638481659366846,148.89070076077593,1.3678904461158936
BRD-K55127134|ASG001_MCF7_6H_X2,BRD-K55127134,fluphenazine,ASG001_MCF7_6H_X2,4,16,-28.480325860428138,118.96894648419635,127.88655044050375,74.57887793646228,96.86404220596467,167.4180644013461,171.09092103656712,102.98106884779133,188.25797226181106,79.8966495020943,105.8911928160307,0.6881647049598882,81.49846045715435,129.29969948011353,30.048773160474752,22.286493798291247,16.305393452808914,25.45565156552891,55.20859467670334,-127.59709829423014,123.14673691850214,166.492818273353,78.92025947959223,187.22702194110082,232.24434969569933,-3.3412159999232927,93.1691119328517,243.7276799447357,110.29511628868045,-34.363214321163355,85.2934734337257,-75.66405361063039,-92.44460910822596,74.53400706679764,27.63058347077174,-41.81592838003081,99.71710867241131,16.93009996138943,112.44221677682651,-7.654168645301411,99.97883052172216,-56.96899346884601,184.87115142538397,149.3070673919027,3.607229734665225,178.8743308680049,38.91182673912283,51.06046462394005,34.510444306342265
BRD-K81418486|ASG001_MCF7_6H_X2,BRD-K81418486,vorinostat,ASG001_MCF7_6H_X2,4,16,-5.1765603677702074,114.62308962292076,47.39984088000199,105.59724363857356,89.89210088651606,-40.59305727499253,92.55981545322288,178.95905858689548,118.51345232860285,206.3518199435431,163.63186521435603,73.89970671966819,-21.070723233858814,130.55585479408728,32.06933489265526,43.52665821515984,63.360461496486835,-106.82074820854399,83.52170896120282,-230.13636785058424,145.82640732819334,157.3519370559428,111.28292141578953,235.18164772327856,187.16833638239723,19.340410655708638,146.22272845881827,286.76125090553467,200.01474846302904,7.287327285730271,87.50928205353989,-144.83440206189186,-135.90415814508242,91.79915107684599,147.9797376655306,-25.13354068513587,82.14169111553201,113.75076060025276,71.53344152925831,20.322015408940445,192.15541467320884,20.760914402629737,93.76729758056962,106.01252961114147,107.77050512043246,6.211385679911018,88.66879114341259,67.52377141194944,113.82163576103403
